database_x,database_y,description_x,description_y,label
hospital_admission_record-patient_name,normal_discharge_records-discharge_instructions,Full name of the patient.,Medical instructions provided upon discharge.,0
hospital_admission_record-patient_name,normal_discharge_records-discharge_condition,Full name of the patient.,Patient's condition upon discharge.,0
hospital_admission_record-patient_name,normal_discharge_records-discharge_date,Full name of the patient.,The date the patient was discharged from the hospital.,0
hospital_admission_record-patient_name,normal_discharge_records-discharge_diagnosis,Full name of the patient.,Final diagnosis made upon discharge.,0
hospital_admission_record-patient_name,normal_discharge_records-physician_s_signature,Full name of the patient.,Signature of the attending physician.,0
hospital_admission_record-patient_name,normal_discharge_records-patient_s_signature_fingerprint,Full name of the patient.,Patient's signature or fingerprint for verification.,0
hospital_admission_record-patient_name,normal_discharge_records-signature_date,Full name of the patient.,Date when the signatures were recorded.,0
hospital_admission_record-patient_name,operation_record-date_and_time,Full name of the patient.,The date and time when the surgery was performed.,0
hospital_admission_record-patient_name,operation_record-primary_surgeon,Full name of the patient.,This attribute is reserved for identifying the main contact for patient inquiries regarding the surgical process.,0
hospital_admission_record-patient_name,operation_record-bed_number,Full name of the patient.,The bed number assigned to the patient.,0
hospital_admission_record-patient_name,operation_record-current_department,Full name of the patient.,The medical department of the patient at the time of surgery.,0
hospital_admission_record-patient_name,operation_record-frozen_section_results,Full name of the patient.,Results from the intraoperative frozen section analysis.,0
hospital_admission_record-patient_name,operation_record-patient_name,Full name of the patient.,The full name of the patient undergoing surgery.,0
hospital_admission_record-patient_name,operation_record-surgeon_signature,Full name of the patient.,Signature of the primary surgeon.,0
hospital_admission_record-patient_name,operation_record-routine_pathology_specimen_description,Full name of the patient.,Description of the specimens sent for routine pathology.,0
hospital_admission_record-patient_name,operation_record-preoperative_diagnosis,Full name of the patient.,The diagnosis provided prior to the surgery.,0
hospital_admission_record-patient_name,operation_record-postoperative_diagnosis,Full name of the patient.,The diagnosis confirmed after the surgery is completed.,0
hospital_admission_record-patient_name,operation_record-anesthesiologist,Full name of the patient.,The name of the anesthesiologist in charge of administering anesthesia.,0
hospital_admission_record-patient_name,operation_record-type_of_anesthesia,Full name of the patient.,The specific type of anesthesia used during the operation.,0
hospital_admission_record-patient_name,operation_record-first_assistant,Full name of the patient.,The name of the first assistant surgeon (if applicable).,0
hospital_admission_record-patient_name,operation_record-second_assistant,Full name of the patient.,The name of the second assistant surgeon (if applicable).,0
hospital_admission_record-patient_name,operation_record-intraoperative_blood_transfusion_volume,Full name of the patient.,The amount of blood transfused during the surgery.,0
hospital_admission_record-patient_name,consultation_record-consultation_participants,Full name of the patient.,Names of the medical professionals involved in the consultation.,0
hospital_admission_record-patient_name,consultation_record-consultation_time,Full name of the patient.,The date and time when the consultation took place.,0
hospital_admission_record-patient_name,consultation_record-consultation_department,Full name of the patient.,The medical department responsible for the consultation.,0
hospital_admission_record-patient_name,consultation_record-consultation_opinions,Full name of the patient.,Opinions and recommendations provided during the consultation.,0
hospital_admission_record-patient_name,consultation_record-consultation_purpose,Full name of the patient.,The purpose or reason for requesting the consultation.,0
hospital_admission_record-patient_name,consultation_record-current_bed_number,Full name of the patient.,The patient's assigned bed number at the time of consultation.,0
hospital_admission_record-patient_name,consultation_record-gender,Full name of the patient.,The gender of the patient.,0
hospital_admission_record-patient_name,consultation_record-patient_name,Full name of the patient.,The full name of the patient.,0
hospital_admission_record-patient_name,consultation_record-recording_physician_s_signature,Full name of the patient.,Signature of the physician documenting the consultation.,0
hospital_admission_record-patient_name,consultation_record-lab_and_equipment_findings,Full name of the patient.,Results from any lab tests or equipment used during the consultation.,0
hospital_admission_record-patient_name,consultation_record-requesting_physician,Full name of the patient.,The physician who requested the consultation.,0
hospital_admission_record-patient_name,consultation_record-request_time,Full name of the patient.,The date and time when the consultation was requested.,0
hospital_admission_record-patient_name,preoperative_summary-physician_s_signature,Full name of the patient.,The signature of the physician responsible for the preoperative assessment.,0
hospital_admission_record-patient_name,preoperative_summary-course_of_illness_time,Full name of the patient.,The duration or time frame of the patient's illness leading up to the surgery.,0
hospital_admission_record-patient_name,preoperative_summary-diagnosis,Full name of the patient.,The medical condition diagnosed before the surgery.,0
hospital_admission_record-patient_name,preoperative_summary-preoperative_preparation,Full name of the patient.,The preparations made before the surgery.,0
hospital_admission_record-patient_name,preoperative_summary-recording_physician_s_signature,Full name of the patient.,The signature of the physician who documented the preoperative summary.,0
hospital_admission_record-patient_name,preoperative_summary-proposed_surgical_method,Full name of the patient.,The planned method or type of surgical procedure.,0
hospital_admission_record-patient_name,preoperative_summary-brief_medical_history,Full name of the patient.,A summary of the patient's medical history which highlights significant past illnesses/treatments and any ongoing medical issues relevant to the preoperative context.,0
hospital_admission_record-patient_name,death_record-medical_record_number,Full name of the patient.,The unique number assigned to the patient's medical record.,0
hospital_admission_record-patient_name,death_record-admit_situation,Full name of the patient.,The condition of the patient upon admission.,0
hospital_admission_record-patient_name,death_record-admission_date,Full name of the patient.,The date when the patient was admitted to the hospital.,0
hospital_admission_record-patient_name,death_record-date_of_birth,Full name of the patient.,The patient's date of birth.,0
hospital_admission_record-patient_name,death_record-physician_s_signature,Full name of the patient.,The signatures of the physician(s) involved.,0
hospital_admission_record-patient_name,death_record-current_bed_number,Full name of the patient.,The bed number assigned to the patient at the time of death.,0
hospital_admission_record-patient_name,death_record-current_department,Full name of the patient.,The hospital department where the patient was located at the time of death.,0
hospital_admission_record-patient_name,death_record-patient_name,Full name of the patient.,The name of the deceased patient.,0
hospital_admission_record-patient_name,death_record-cause_of_death,Full name of the patient.,The identified cause of death.,0
hospital_admission_record-patient_name,death_record-time_of_death,Full name of the patient.,The specific date and time when the patient passed away.,0
hospital_admission_record-patient_name,death_record-death_diagnosis,Full name of the patient.,The diagnosis established as the cause or underlying reason for death.,0
hospital_admission_record-patient_name,death_record-record_time,Full name of the patient.,The time when the death record was documented.,0
hospital_admission_record-patient_name,death_record-diagnosis_and_treatment_process,Full name of the patient.,An exhaustive report on the treatment process leading to the patient's death. This encompasses a comprehensive review of the disease progression/the full scope of treatments attempted/the patient's response to these treatments and any complications or side effects experienced.,0
hospital_admission_record-patient_name,death_record-recording_physician_s_signature,Full name of the patient.,The signature of the physician who documented the death record.,0
hospital_admission_record-patient_name,death_record-patient_hospitalization_id,Full name of the patient.,The unique ID assigned to the patient’s hospitalization.,0
hospital_admission_record-sex,admission_records-name,Patient's sex.,Patient's full name.,0
hospital_admission_record-sex,admission_records-gender,Patient's sex.,Patient's gender.,1
hospital_admission_record-sex,admission_records-physical_examination,Patient's sex.,Notes from the physical examination of the patient.,0
hospital_admission_record-sex,admission_records-personal_history,Patient's sex.,Patient's personal history.,0
hospital_admission_record-sex,admission_records-preliminary_diagnosis,Patient's sex.,Initial diagnosis made upon admission.,0
hospital_admission_record-sex,admission_records-chief_complaint,Patient's sex.,Main complaint or reason for admission.,0
hospital_admission_record-sex,admission_records-historian,Patient's sex.,Person providing the medical history.,0
hospital_admission_record-sex,admission_records-admission_date,Patient's sex.,Date when the patient was admitted.,0
hospital_admission_record-sex,admission_records-place_of_birth,Patient's sex.,Patient's place of birth.,0
hospital_admission_record-sex,admission_records-current_address,Patient's sex.,Residential address of the patient.,0
hospital_admission_record-sex,admission_records-marital_status,Patient's sex.,Patient's marital status.,0
hospital_admission_record-sex,admission_records-obstetric_history,Patient's sex.,History of pregnancies and childbirth.,0
hospital_admission_record-sex,admission_records-family_history,Patient's sex.,Medical history of the patient's family.,0
hospital_admission_record-sex,admission_records-age,Patient's sex.,Patient's age.,0
hospital_admission_record-sex,admission_records-current_department,Patient's sex.,The specific department or unit where the patient is currently receiving treatment.,0
hospital_admission_record-sex,admission_records-household_registration_address,Patient's sex.,Registered permanent address.,0
hospital_admission_record-sex,admission_records-past_medical_history,Patient's sex.,Patient's previous medical history.,0
hospital_admission_record-sex,admission_records-date,Patient's sex.,General date of record.,0
hospital_admission_record-sex,admission_records-menstrual_history,Patient's sex.,History of the patient's menstrual cycle.,0
hospital_admission_record-sex,admission_records-ethnicity,Patient's sex.,Patient's ethnic background.,0
hospital_admission_record-sex,admission_records-parents_name,Patient's sex.,Name of the patient's biological or adoptive parent (if applicable).,0
hospital_admission_record-sex,admission_records-present_illness_history,Patient's sex.,History of the present illness.,0
hospital_admission_record-sex,admission_records-phone_number,Patient's sex.,Patient's contact phone number.,0
hospital_admission_record-sex,admission_records-occupation,Patient's sex.,Patient's occupation.,0
hospital_admission_record-sex,admission_records-drug_and_food_allergy_history,Patient's sex.,History of allergies to drugs and food.,0
hospital_admission_record-sex,admission_records-auxiliary_examination,Patient's sex.,Notes from additional examinations and tests.,0
hospital_admission_record-sex,normal_discharge_records-case_number,Patient's sex.,Unique identifier for the patient's case.,0
hospital_admission_record-sex,normal_discharge_records-hospital_course,Patient's sex.,Summary of the patient's hospital stay and progress.,0
hospital_admission_record-sex,normal_discharge_records-admission_condition,Patient's sex.,Patient's condition upon admission.,0
hospital_admission_record-sex,normal_discharge_records-admission_time,Patient's sex.,The exact time when the patient was admitted.,0
hospital_admission_record-sex,normal_discharge_records-admission_diagnosis,Patient's sex.,Initial diagnosis when the patient was admitted.,0
hospital_admission_record-sex,normal_discharge_records-discharge_instructions,Patient's sex.,Medical instructions provided upon discharge.,0
hospital_admission_record-sex,normal_discharge_records-discharge_condition,Patient's sex.,Patient's condition upon discharge.,0
hospital_admission_record-sex,normal_discharge_records-discharge_date,Patient's sex.,The date the patient was discharged from the hospital.,0
hospital_admission_record-sex,normal_discharge_records-discharge_diagnosis,Patient's sex.,Final diagnosis made upon discharge.,0
hospital_admission_record-sex,normal_discharge_records-physician_s_signature,Patient's sex.,Signature of the attending physician.,0
hospital_admission_record-sex,normal_discharge_records-patient_s_signature_fingerprint,Patient's sex.,Patient's signature or fingerprint for verification.,0
hospital_admission_record-sex,normal_discharge_records-signature_date,Patient's sex.,Date when the signatures were recorded.,0
hospital_admission_record-sex,operation_record-date_and_time,Patient's sex.,The date and time when the surgery was performed.,0
hospital_admission_record-sex,operation_record-primary_surgeon,Patient's sex.,This attribute is reserved for identifying the main contact for patient inquiries regarding the surgical process.,0
hospital_admission_record-sex,operation_record-bed_number,Patient's sex.,The bed number assigned to the patient.,0
hospital_admission_record-sex,operation_record-current_department,Patient's sex.,The medical department of the patient at the time of surgery.,0
hospital_admission_record-sex,operation_record-frozen_section_results,Patient's sex.,Results from the intraoperative frozen section analysis.,0
hospital_admission_record-sex,operation_record-patient_name,Patient's sex.,The full name of the patient undergoing surgery.,0
hospital_admission_record-sex,operation_record-surgeon_signature,Patient's sex.,Signature of the primary surgeon.,0
hospital_admission_record-sex,operation_record-routine_pathology_specimen_description,Patient's sex.,Description of the specimens sent for routine pathology.,0
hospital_admission_record-sex,operation_record-preoperative_diagnosis,Patient's sex.,The diagnosis provided prior to the surgery.,0
hospital_admission_record-sex,operation_record-postoperative_diagnosis,Patient's sex.,The diagnosis confirmed after the surgery is completed.,0
hospital_admission_record-sex,operation_record-anesthesiologist,Patient's sex.,The name of the anesthesiologist in charge of administering anesthesia.,0
hospital_admission_record-sex,operation_record-type_of_anesthesia,Patient's sex.,The specific type of anesthesia used during the operation.,0
hospital_admission_record-sex,operation_record-first_assistant,Patient's sex.,The name of the first assistant surgeon (if applicable).,0
hospital_admission_record-sex,operation_record-second_assistant,Patient's sex.,The name of the second assistant surgeon (if applicable).,0
hospital_admission_record-sex,operation_record-intraoperative_blood_transfusion_volume,Patient's sex.,The amount of blood transfused during the surgery.,0
hospital_admission_record-sex,consultation_record-consultation_participants,Patient's sex.,Names of the medical professionals involved in the consultation.,0
hospital_admission_record-sex,consultation_record-consultation_time,Patient's sex.,The date and time when the consultation took place.,0
hospital_admission_record-sex,consultation_record-consultation_department,Patient's sex.,The medical department responsible for the consultation.,0
hospital_admission_record-sex,consultation_record-consultation_opinions,Patient's sex.,Opinions and recommendations provided during the consultation.,0
hospital_admission_record-sex,consultation_record-consultation_purpose,Patient's sex.,The purpose or reason for requesting the consultation.,0
hospital_admission_record-sex,consultation_record-current_bed_number,Patient's sex.,The patient's assigned bed number at the time of consultation.,0
hospital_admission_record-sex,consultation_record-gender,Patient's sex.,The gender of the patient.,0
hospital_admission_record-sex,consultation_record-patient_name,Patient's sex.,The full name of the patient.,0
hospital_admission_record-sex,consultation_record-recording_physician_s_signature,Patient's sex.,Signature of the physician documenting the consultation.,0
hospital_admission_record-sex,consultation_record-lab_and_equipment_findings,Patient's sex.,Results from any lab tests or equipment used during the consultation.,0
hospital_admission_record-sex,consultation_record-requesting_physician,Patient's sex.,The physician who requested the consultation.,0
hospital_admission_record-sex,consultation_record-request_time,Patient's sex.,The date and time when the consultation was requested.,0
hospital_admission_record-sex,preoperative_summary-physician_s_signature,Patient's sex.,The signature of the physician responsible for the preoperative assessment.,0
hospital_admission_record-sex,preoperative_summary-course_of_illness_time,Patient's sex.,The duration or time frame of the patient's illness leading up to the surgery.,0
hospital_admission_record-sex,preoperative_summary-diagnosis,Patient's sex.,The medical condition diagnosed before the surgery.,0
hospital_admission_record-sex,preoperative_summary-preoperative_preparation,Patient's sex.,The preparations made before the surgery.,0
hospital_admission_record-sex,preoperative_summary-recording_physician_s_signature,Patient's sex.,The signature of the physician who documented the preoperative summary.,0
hospital_admission_record-sex,preoperative_summary-proposed_surgical_method,Patient's sex.,The planned method or type of surgical procedure.,0
hospital_admission_record-sex,preoperative_summary-brief_medical_history,Patient's sex.,A summary of the patient's medical history which highlights significant past illnesses/treatments and any ongoing medical issues relevant to the preoperative context.,0
hospital_admission_record-sex,death_record-medical_record_number,Patient's sex.,The unique number assigned to the patient's medical record.,0
hospital_admission_record-sex,death_record-admit_situation,Patient's sex.,The condition of the patient upon admission.,0
hospital_admission_record-sex,death_record-admission_date,Patient's sex.,The date when the patient was admitted to the hospital.,0
hospital_admission_record-sex,death_record-date_of_birth,Patient's sex.,The patient's date of birth.,0
hospital_admission_record-sex,death_record-physician_s_signature,Patient's sex.,The signatures of the physician(s) involved.,0
hospital_admission_record-sex,death_record-current_bed_number,Patient's sex.,The bed number assigned to the patient at the time of death.,0
hospital_admission_record-sex,death_record-current_department,Patient's sex.,The hospital department where the patient was located at the time of death.,0
hospital_admission_record-sex,death_record-patient_name,Patient's sex.,The name of the deceased patient.,0
hospital_admission_record-sex,death_record-cause_of_death,Patient's sex.,The identified cause of death.,0
hospital_admission_record-sex,death_record-time_of_death,Patient's sex.,The specific date and time when the patient passed away.,0
hospital_admission_record-sex,death_record-death_diagnosis,Patient's sex.,The diagnosis established as the cause or underlying reason for death.,0
hospital_admission_record-sex,death_record-record_time,Patient's sex.,The time when the death record was documented.,0
hospital_admission_record-sex,death_record-diagnosis_and_treatment_process,Patient's sex.,An exhaustive report on the treatment process leading to the patient's death. This encompasses a comprehensive review of the disease progression/the full scope of treatments attempted/the patient's response to these treatments and any complications or side effects experienced.,0
hospital_admission_record-sex,death_record-recording_physician_s_signature,Patient's sex.,The signature of the physician who documented the death record.,0
hospital_admission_record-sex,death_record-patient_hospitalization_id,Patient's sex.,The unique ID assigned to the patient’s hospitalization.,0
hospital_admission_record-physical_exam,admission_records-name,Details of the patient's physical examination.,Patient's full name.,0
hospital_admission_record-physical_exam,admission_records-gender,Details of the patient's physical examination.,Patient's gender.,0
hospital_admission_record-physical_exam,admission_records-physical_examination,Details of the patient's physical examination.,Notes from the physical examination of the patient.,1
hospital_admission_record-physical_exam,admission_records-personal_history,Details of the patient's physical examination.,Patient's personal history.,0
hospital_admission_record-physical_exam,admission_records-preliminary_diagnosis,Details of the patient's physical examination.,Initial diagnosis made upon admission.,0
hospital_admission_record-physical_exam,admission_records-chief_complaint,Details of the patient's physical examination.,Main complaint or reason for admission.,0
hospital_admission_record-physical_exam,admission_records-historian,Details of the patient's physical examination.,Person providing the medical history.,0
hospital_admission_record-physical_exam,admission_records-admission_date,Details of the patient's physical examination.,Date when the patient was admitted.,0
hospital_admission_record-physical_exam,admission_records-place_of_birth,Details of the patient's physical examination.,Patient's place of birth.,0
hospital_admission_record-physical_exam,admission_records-current_address,Details of the patient's physical examination.,Residential address of the patient.,0
hospital_admission_record-physical_exam,admission_records-marital_status,Details of the patient's physical examination.,Patient's marital status.,0
hospital_admission_record-physical_exam,admission_records-obstetric_history,Details of the patient's physical examination.,History of pregnancies and childbirth.,0
hospital_admission_record-physical_exam,admission_records-family_history,Details of the patient's physical examination.,Medical history of the patient's family.,0
hospital_admission_record-physical_exam,admission_records-age,Details of the patient's physical examination.,Patient's age.,0
hospital_admission_record-physical_exam,admission_records-current_department,Details of the patient's physical examination.,The specific department or unit where the patient is currently receiving treatment.,0
hospital_admission_record-physical_exam,admission_records-household_registration_address,Details of the patient's physical examination.,Registered permanent address.,0
hospital_admission_record-physical_exam,admission_records-past_medical_history,Details of the patient's physical examination.,Patient's previous medical history.,0
hospital_admission_record-physical_exam,admission_records-date,Details of the patient's physical examination.,General date of record.,0
hospital_admission_record-physical_exam,admission_records-menstrual_history,Details of the patient's physical examination.,History of the patient's menstrual cycle.,0
hospital_admission_record-physical_exam,admission_records-ethnicity,Details of the patient's physical examination.,Patient's ethnic background.,0
hospital_admission_record-physical_exam,admission_records-parents_name,Details of the patient's physical examination.,Name of the patient's biological or adoptive parent (if applicable).,0
hospital_admission_record-physical_exam,admission_records-present_illness_history,Details of the patient's physical examination.,History of the present illness.,0
hospital_admission_record-physical_exam,admission_records-phone_number,Details of the patient's physical examination.,Patient's contact phone number.,0
hospital_admission_record-physical_exam,admission_records-occupation,Details of the patient's physical examination.,Patient's occupation.,0
hospital_admission_record-physical_exam,admission_records-drug_and_food_allergy_history,Details of the patient's physical examination.,History of allergies to drugs and food.,0
hospital_admission_record-physical_exam,admission_records-auxiliary_examination,Details of the patient's physical examination.,Notes from additional examinations and tests.,0
hospital_admission_record-physical_exam,normal_discharge_records-case_number,Details of the patient's physical examination.,Unique identifier for the patient's case.,0
hospital_admission_record-physical_exam,normal_discharge_records-hospital_course,Details of the patient's physical examination.,Summary of the patient's hospital stay and progress.,0
hospital_admission_record-physical_exam,normal_discharge_records-admission_condition,Details of the patient's physical examination.,Patient's condition upon admission.,0
hospital_admission_record-physical_exam,normal_discharge_records-admission_time,Details of the patient's physical examination.,The exact time when the patient was admitted.,0
hospital_admission_record-physical_exam,normal_discharge_records-admission_diagnosis,Details of the patient's physical examination.,Initial diagnosis when the patient was admitted.,0
hospital_admission_record-physical_exam,normal_discharge_records-discharge_instructions,Details of the patient's physical examination.,Medical instructions provided upon discharge.,0
hospital_admission_record-physical_exam,normal_discharge_records-discharge_condition,Details of the patient's physical examination.,Patient's condition upon discharge.,0
hospital_admission_record-physical_exam,normal_discharge_records-discharge_date,Details of the patient's physical examination.,The date the patient was discharged from the hospital.,0
hospital_admission_record-physical_exam,normal_discharge_records-discharge_diagnosis,Details of the patient's physical examination.,Final diagnosis made upon discharge.,0
hospital_admission_record-physical_exam,normal_discharge_records-physician_s_signature,Details of the patient's physical examination.,Signature of the attending physician.,0
hospital_admission_record-physical_exam,normal_discharge_records-patient_s_signature_fingerprint,Details of the patient's physical examination.,Patient's signature or fingerprint for verification.,0
hospital_admission_record-physical_exam,normal_discharge_records-signature_date,Details of the patient's physical examination.,Date when the signatures were recorded.,0
hospital_admission_record-physical_exam,operation_record-date_and_time,Details of the patient's physical examination.,The date and time when the surgery was performed.,0
hospital_admission_record-physical_exam,operation_record-primary_surgeon,Details of the patient's physical examination.,This attribute is reserved for identifying the main contact for patient inquiries regarding the surgical process.,0
hospital_admission_record-physical_exam,operation_record-bed_number,Details of the patient's physical examination.,The bed number assigned to the patient.,0
hospital_admission_record-physical_exam,operation_record-current_department,Details of the patient's physical examination.,The medical department of the patient at the time of surgery.,0
hospital_admission_record-physical_exam,operation_record-frozen_section_results,Details of the patient's physical examination.,Results from the intraoperative frozen section analysis.,0
hospital_admission_record-physical_exam,operation_record-patient_name,Details of the patient's physical examination.,The full name of the patient undergoing surgery.,0
hospital_admission_record-physical_exam,operation_record-surgeon_signature,Details of the patient's physical examination.,Signature of the primary surgeon.,0
hospital_admission_record-physical_exam,operation_record-routine_pathology_specimen_description,Details of the patient's physical examination.,Description of the specimens sent for routine pathology.,0
hospital_admission_record-physical_exam,operation_record-preoperative_diagnosis,Details of the patient's physical examination.,The diagnosis provided prior to the surgery.,0
hospital_admission_record-physical_exam,operation_record-postoperative_diagnosis,Details of the patient's physical examination.,The diagnosis confirmed after the surgery is completed.,0
hospital_admission_record-physical_exam,operation_record-anesthesiologist,Details of the patient's physical examination.,The name of the anesthesiologist in charge of administering anesthesia.,0
hospital_admission_record-physical_exam,operation_record-type_of_anesthesia,Details of the patient's physical examination.,The specific type of anesthesia used during the operation.,0
hospital_admission_record-physical_exam,operation_record-first_assistant,Details of the patient's physical examination.,The name of the first assistant surgeon (if applicable).,0
hospital_admission_record-physical_exam,operation_record-second_assistant,Details of the patient's physical examination.,The name of the second assistant surgeon (if applicable).,0
hospital_admission_record-physical_exam,operation_record-intraoperative_blood_transfusion_volume,Details of the patient's physical examination.,The amount of blood transfused during the surgery.,0
hospital_admission_record-physical_exam,consultation_record-consultation_participants,Details of the patient's physical examination.,Names of the medical professionals involved in the consultation.,0
hospital_admission_record-physical_exam,consultation_record-consultation_time,Details of the patient's physical examination.,The date and time when the consultation took place.,0
hospital_admission_record-physical_exam,consultation_record-consultation_department,Details of the patient's physical examination.,The medical department responsible for the consultation.,0
hospital_admission_record-physical_exam,consultation_record-consultation_opinions,Details of the patient's physical examination.,Opinions and recommendations provided during the consultation.,0
hospital_admission_record-physical_exam,consultation_record-consultation_purpose,Details of the patient's physical examination.,The purpose or reason for requesting the consultation.,0
hospital_admission_record-physical_exam,consultation_record-current_bed_number,Details of the patient's physical examination.,The patient's assigned bed number at the time of consultation.,0
hospital_admission_record-physical_exam,consultation_record-gender,Details of the patient's physical examination.,The gender of the patient.,0
hospital_admission_record-physical_exam,consultation_record-patient_name,Details of the patient's physical examination.,The full name of the patient.,0
hospital_admission_record-physical_exam,consultation_record-recording_physician_s_signature,Details of the patient's physical examination.,Signature of the physician documenting the consultation.,0
hospital_admission_record-physical_exam,consultation_record-lab_and_equipment_findings,Details of the patient's physical examination.,Results from any lab tests or equipment used during the consultation.,0
hospital_admission_record-physical_exam,consultation_record-requesting_physician,Details of the patient's physical examination.,The physician who requested the consultation.,0
hospital_admission_record-physical_exam,consultation_record-request_time,Details of the patient's physical examination.,The date and time when the consultation was requested.,0
hospital_admission_record-physical_exam,preoperative_summary-physician_s_signature,Details of the patient's physical examination.,The signature of the physician responsible for the preoperative assessment.,0
hospital_admission_record-physical_exam,preoperative_summary-course_of_illness_time,Details of the patient's physical examination.,The duration or time frame of the patient's illness leading up to the surgery.,0
hospital_admission_record-physical_exam,preoperative_summary-diagnosis,Details of the patient's physical examination.,The medical condition diagnosed before the surgery.,0
hospital_admission_record-physical_exam,preoperative_summary-preoperative_preparation,Details of the patient's physical examination.,The preparations made before the surgery.,0
hospital_admission_record-physical_exam,preoperative_summary-recording_physician_s_signature,Details of the patient's physical examination.,The signature of the physician who documented the preoperative summary.,0
hospital_admission_record-physical_exam,preoperative_summary-proposed_surgical_method,Details of the patient's physical examination.,The planned method or type of surgical procedure.,0
hospital_admission_record-physical_exam,preoperative_summary-brief_medical_history,Details of the patient's physical examination.,A summary of the patient's medical history which highlights significant past illnesses/treatments and any ongoing medical issues relevant to the preoperative context.,0
hospital_admission_record-physical_exam,death_record-medical_record_number,Details of the patient's physical examination.,The unique number assigned to the patient's medical record.,0
hospital_admission_record-physical_exam,death_record-admit_situation,Details of the patient's physical examination.,The condition of the patient upon admission.,0
hospital_admission_record-physical_exam,death_record-admission_date,Details of the patient's physical examination.,The date when the patient was admitted to the hospital.,0
hospital_admission_record-physical_exam,death_record-date_of_birth,Details of the patient's physical examination.,The patient's date of birth.,0
hospital_admission_record-physical_exam,death_record-physician_s_signature,Details of the patient's physical examination.,The signatures of the physician(s) involved.,0
hospital_admission_record-physical_exam,death_record-current_bed_number,Details of the patient's physical examination.,The bed number assigned to the patient at the time of death.,0
hospital_admission_record-physical_exam,death_record-current_department,Details of the patient's physical examination.,The hospital department where the patient was located at the time of death.,0
hospital_admission_record-physical_exam,death_record-patient_name,Details of the patient's physical examination.,The name of the deceased patient.,0
hospital_admission_record-physical_exam,death_record-cause_of_death,Details of the patient's physical examination.,The identified cause of death.,0
hospital_admission_record-physical_exam,death_record-time_of_death,Details of the patient's physical examination.,The specific date and time when the patient passed away.,0
hospital_admission_record-physical_exam,death_record-death_diagnosis,Details of the patient's physical examination.,The diagnosis established as the cause or underlying reason for death.,0
hospital_admission_record-physical_exam,death_record-record_time,Details of the patient's physical examination.,The time when the death record was documented.,0
